Block Num,Trial Num,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
2,1,11.80428,False,0.0004317127,-0.00151813,0.006436586,0.006627272,-0.04698318,-0.03095897,0.02791751,0.9980255,7.202283,-0.7480136,-0.492894,0.4444714,0.3272433,0.3514283,0.4246798,0,0,0,0.5535341,313.6879,0,0,0.5545766,790.4504,0.3475651,673.7235,0,0,0.0853371,26.26196,7.467954,0
2,2,9.179557,False,-0.003141746,-0.006749034,0.002742469,0.007933547,0.00380493,0.06013045,-0.0431755,0.9972492,8.501729,0.05133227,0.8112194,-0.5824803,0.2634302,0.3436776,0.387103,0,0,0,0.5752401,357.2232,0,0,0.4134459,732.2852,0.2780479,555.0813,0,0,0.04211686,15.31908,4.219563,0
2,3,7.778188,False,0.001276862,-0.002773881,0.007527381,0.008123193,-0.0521498,-0.01130217,-0.03925868,0.9978033,7.59678,-0.7872162,-0.1706095,-0.5926211,0.1358565,0.1418756,0.1336253,0,0,0,0.2066648,100.4469,0,0,0.1307988,199.8362,0.1131438,161.0374,0,0,0.02912679,7.977594,2.319154,0
2,4,10.23521,False,0.0004154593,-0.003554225,0.004637778,0.005857824,0.02635312,0.03907006,0.01947048,-0.9986992,354.1545,0.5168318,0.7662336,0.3818509,0.3619106,0.4752924,0.5399061,0,0,0,0.5472129,368.1701,0,0,0.4506116,855.9824,0.3673589,709.2877,0,0,0.05140347,16.15255,6.317093,0
2,5,7.26343,False,0.001603849,0.001123846,0.001864016,0.002703686,0.02715587,0.03755852,0.02016375,0.998722,5.794378,0.5372698,0.7430829,0.398933,0.2722934,0.2587539,0.2884766,0,0,0,0.4716748,264.3757,0,0,0.3548104,569.0609,0.244097,523.7595,0,0,0.05638148,19.93292,4.86973,0
2,6,8.749446,False,0.003955174,0.0004345179,-0.0007985234,0.004058306,-0.002582893,0.00638092,-0.0462891,0.9989045,5.364679,-0.05519161,0.1363484,-0.989112,0.2643645,0.2844018,0.3280482,0,0,0,0.4268185,278.6981,0,0,0.3905803,605.1268,0.2318337,454.5463,0,0,0.04993734,14.63811,4.733897,0
2,7,7.180418,False,-0.002683643,0.001729786,0.002955168,0.004350531,-0.006048818,-0.03141527,0.04556931,0.9984488,6.383505,-0.1086393,-0.5642316,0.818444,0.1802331,0.228801,0.2853371,0,0,0,0.4040304,180.5486,0,0,0.3249943,423.1781,0.1983044,346.685,0,0,0.03511871,11.67859,4.30362,0
2,8,9.441619,False,0.005512726,-0.002087355,0.008992404,0.01075223,-0.02489856,-0.01853849,0.0397156,0.9987288,5.778546,-0.4939599,-0.3677833,0.7879137,0.2905538,0.3115972,0.3631648,0,0,0,0.3736311,235.195,0,0,0.3812822,609.0116,0.2547996,537.6874,0,0,0.04295484,14.2838,5.85992,0
2,9,8.431621,False,-0.001477245,-0.00635004,0.007772297,0.01014465,-0.05130141,0.01530606,-0.006045994,0.9985477,6.176641,-0.9522219,0.2841007,-0.1122216,0.2735895,0.2241078,0.2504157,0,0,0,0.393979,199.6168,0,0,0.306235,469.7919,0.207359,404.2112,0,0,0.05388857,17.78311,5.695258,0
2,10,12.29121,False,-0.00224233,-0.004331231,0.003948957,0.006275497,-0.01943959,-0.05136514,-0.002058274,-0.9984887,353.6991,-0.3537157,-0.9346216,-0.03745161,0.4905022,0.4412793,0.4943023,0,0,0,0.6651366,355.785,0,0,0.5760458,942.853,0.3901208,844.0494,0,0,0.0818794,25.94291,7.217637,0
3,1,5.722961,False,0.001803786,0.001806855,-0.0001797974,0.002559433,0.01076163,0.05478056,0.03545433,0.9978108,7.583881,0.1627253,0.8283303,0.5361006,0.1862619,0.1782169,0.1928629,0,0,0,0.2781622,143.2603,0,0,0.2524761,334.3831,0.1557267,301.4549,0,0,0.05272909,17.44542,4.304315,0
3,2,12.8188,False,0.003504716,0.002296686,0.0007301569,0.004253343,-0.0178935,-0.02210562,0.02916489,0.99917,4.669123,-0.4392747,-0.5426799,0.7159808,0.3520276,0.3396702,0.4189618,0,0,0,0.5350662,370.6944,0,0,0.4982253,747.5927,0.3061494,564.5904,0,0,0.05098837,19.24656,4.842469,0
3,3,8.056891,False,0.003976721,-0.004052043,0.004882395,0.007488067,0.04378588,0.01035141,-0.02549639,0.998662,5.928766,0.8466735,0.2001619,-0.4930155,0.2923999,0.2152988,0.316737,0,0,0,0.416258,216.0969,0,0,0.3504262,535.8874,0.2227455,437.259,0,0,0.0518037,17.94175,5.261799,0
3,4,8.776982,False,-0.002272993,9.977818E-05,-0.002765238,0.003580921,-0.02662992,-0.06987333,0.008150069,-0.9971671,351.3725,-0.354037,-0.9289454,0.1083528,0.2413091,0.2328828,0.3263602,0,0,0,0.3674864,277.4514,0,0,0.3053473,608.416,0.2174211,461.8476,0,0,0.03292783,9.085433,3.971895,0
3,5,9.679307,False,0.005149569,0.0007995963,0.008906394,0.01031898,-0.04768263,0.01777695,-0.01557754,0.998583,6.101384,-0.8959649,0.334032,-0.2927047,0.3312433,0.3385401,0.4183087,0,0,0,0.5149539,278.9139,0,0,0.379138,655.864,0.2767415,529.9586,0,0,0.05117572,19.16591,6.667382,0
3,6,11.04082,False,0.006884761,0.00172323,-0.002324492,0.007468114,0.0006077145,-0.04246902,-0.05730323,-0.997453,351.8196,0.008520107,-0.5954121,-0.8033866,0.3100598,0.2900248,0.3387975,0,0,0,0.5213685,302.1654,0,0,0.4028253,610.7269,0.2662556,501.677,0,0,0.07568217,19.19763,7.266586,0
3,7,11.42781,False,0.003595896,0.00250572,0.008433819,0.009504652,0.02705795,0.05184528,0.01757373,-0.9981339,352.9983,0.4431118,0.8490393,0.2877946,0.2997392,0.2966307,0.3615321,0,0,0,0.5888023,363.0756,0,0,0.5093711,730.169,0.2937644,526.0959,0,0,0.08743832,28.94358,5.567782,0
3,8,8.489478,False,0.003705867,-0.0009368658,0.006765753,0.00777088,-0.009000554,-0.02350943,-0.0599382,0.9978847,7.454717,-0.1384512,-0.3616344,-0.9220008,0.2337185,0.1954743,0.2636769,0,0,0,0.4246904,221.0986,0,0,0.2974514,510.4006,0.2285119,439.3519,0,0,0.05495531,15.69596,4.430905,0
3,9,7.400966,False,-5.915761E-05,-0.001888514,0.00547269,0.005789673,-0.07691297,-0.03565875,0.004079404,0.9963916,9.737691,-0.9061878,-0.4201311,0.0480635,0.183847,0.1667421,0.2353112,0,0,0,0.3011039,200.1642,0,0,0.2383604,375.9246,0.1842114,272.48,0,0,0.03457971,11.28325,4.555375,0
3,10,21.33235,False,0.005309381,-0.002493978,0.00951165,0.01117501,-0.07340603,-0.005970278,-0.04375601,0.996324,9.828684,-0.8568841,-0.0696923,-0.5107731,0.4334451,0.4851817,0.5506192,0,0,0,0.6408885,390.4474,0,0,0.5529605,882.4005,0.4292592,768.9904,0,0,0.09898578,35.48025,13.12845,0
